,English,SimplifiedChinese,TraditionalChinese,Russian
"  Chinese:","  Chinese:","  中文:","  中文:","  Упрощенный китайский:"
"  Russian:","  Russian:","  俄文:","  俄文:","  Русский:"
"""The Catch""","""The Catch""",「渔获」,「漁獲」,"""The Catch"""
"%s; Position: %s; Scene: %u
","%s; Position: %s; Scene: %u
","%s; Position: %s; Scene: %u
","%s; Position: %s; Scene: %u
","%s; Position: %s; Scene: %u
"
0culi Teleport,0culi Teleport,神瞳传送,神瞳傳送,0кусулы телепорт
A Thousand Floating Dreams,A Thousand Floating Dreams,千夜浮梦,千夜浮夢,A Thousand Floating Dreams
AD,AD,包满禁用,包滿禁用,AD
AP,AP,拾取,拾取,AP
AT,AT,交互,交互,AT
Abiding Angelfish,Abiding Angelfish,长生仙,長生仙,Abiding Angelfish
Ability Log [DEBUG],Ability Log [DEBUG],技能日志[调试],技能日誌[偵錯],Логи способностей [DEBUG]
Ability Reduce,Ability Reduce,属性降低(暂),屬性降低(暫),Уменьшеньшение способности
About,About,关于,關於,About
Abyss Mage,Abyss Mage,深渊法师,深淵法師,Маг бездны
Abyss mage/churl/slime shields.,Abyss mage/churl/slime shields.,深渊法师/深渊使徒/史莱姆 的护盾,深淵法師/深淵使徒/史萊姆 的護盾,Маг/чурл/слайм бездны щиты.
Account,Account,账号,帳號,Account
Account Name,Account Name,账号名称,帳號名稱,Имя аккаунта
Account Switcher,Account Switcher,账号切换器,帳號切換器,Менеджер аккаунтом
Account list,Account list,账号列表,帳號列表,Account list
"Account was updated.
Config profile was changed.","Account was updated.
Config profile was changed.","账户已更新。
配置文件已更换。","賬戶已更新。
配置文件已更換。","Account was updated.
Config profile was changed."
Accounts,Accounts,账号,帳號,Accounts
Acl,Acl,账号列表,帳號列表,Acl
Actions,Actions,行为,行為,Actions
Active Glider,Active Glider,生效的风之翼,生效的風之翼,Активный планер
Active Hero,Active Hero,生效的角色,生效的角色,Активный герой
Active features,Active features,生效功能,生效功能,Активные особенности
Add Teleport,Add Teleport,添加传送文件,添加傳送文件,Добавить Teleport
Add new profile,Add new profile,添加新的配置文件,添加新的配置文件,Add new profile
Additional Dll,Additional Dll,添加的Dll,添加的Dll,Дополнительная Dll
Adhigama Wood,Adhigama Wood,证悟木,證悟木,Adhigama Wood
Adjust interface font size.,Adjust interface font size.,调整界面字体大小,調整界面字體大小,Настройка размера шрифта интерфейса
"Adjusting items is power consumption operation.
So rescanning will happen with specified delay.","Adjusting items is power consumption operation.
So rescanning will happen with specified delay.","调整项目是消耗性能的操作，
因此重新扫描将以指定的延迟发生。","調整項目是消耗性能的操作，
因此重新掃描將以指定的延遲發生。","Adjusting items is power consumption operation.
So rescanning will happen with specified delay."
Adorned Unagi,Adorned Unagi,藤纹陆鳗鳗,藤紋陸鰻鰻,Adorned Unagi
Aeonblight Drake,Aeonblight Drake,兆载永劫龙兽,兆載永劫龍獸,Дракон вечных бедствий
Aggro,Aggro,仇恨,仇恨,Злой
Aizen Medaka,Aizen Medaka,蓝染花鳉,藍染花鱂,Aizen Medaka
Ajilenakh Nut,Ajilenakh Nut,枣椰,棗椰,Орехи аджиленах
Akai Maou,Akai Maou,赤魔王,赤魔王,Akai Maou
Akebi GC,Akebi GC,Akebi GC,Akebi GC,Akebi GC
Akebi discord:,Akebi discord:,"Akebi discord: ","Akebi discord: ",Akebi discord:
Akebi github:,Akebi github:,"Akebi github: ","Akebi github: ",Akebi github:
Akuoumaru,Akuoumaru,恶王丸,惡王丸,Akuoumaru
Albedo,Albedo,阿贝多,阿貝多,Albedo
Algorithm Of Semi Intransient Matrix Of Overseer Network,Algorithm Of Semi Intransient Matrix Of Overseer Network,半永恒统辖矩阵,半永恒統轄矩陣,Алгоритм полуизвечной матрицы оператора наблюдения
Algorithm of Semi-Intransient Matrix of Overseer Network,Algorithm of Semi-Intransient Matrix of Overseer Network,半永恒统辖矩阵,半永恒統轄矩陣,Algorithm of Semi-Intransient Matrix of Overseer Network
All,All,所有,所有,Все
Alley Hunter,Alley Hunter,暗巷猎手,暗巷獵手,Alley Hunter
Allow moving of 'FPS Indicator' window.,Allow moving of 'FPS Indicator' window.,允许移动帧率显示窗口,允許移動幀率顯示視窗,Возможность двигать окно 'FPS Indicator'.
Allow moving of 'Info' window.,Allow moving of 'Info' window.,允许移动信息窗口,允許移動信息視窗,Возможность двигать окно 'Info'.
Allow moving of 'Status' window.,Allow moving of 'Status' window.,允许移动状态窗口,允許移動狀態視窗,Возможность двигать окно 'Status'.
"Allows usage of alternate speed when holding down LeftCtrl key.
Useful if you want to temporarily go faster/slower than the no-clip speed setting.","Allows usage of alternate speed when holding down LeftCtrl key.
Useful if you want to temporarily go faster/slower than the no-clip speed setting.","如果你想暂时使用比 自由移动 设置的速度更快/更慢，
按住 LeftCtrl 时 使用备用速度。","如果你想暫時使用比 自由移動 設置的速度更快/更慢，
按住 LeftCtrl 時 使用備用速度。","Allows usage of alternate speed when holding down LeftCtrl key.
Useful if you want to temporarily go faster/slower than the no-clip speed setting."
"Allows you to customize the element type of damage.
This may not work for some characters. 
(If you want to completely close this function, you need to reload the scene, e.g. entering the dungeon or re-entering the game)","Allows you to customize the element type of damage.
This may not work for some characters. 
(If you want to completely close this function, you need to reload the scene, e.g. entering the dungeon or re-entering the game)","使你可以修改伤害的元素类型
 有些角色可能没用
 （如果要彻底关闭这个功能，你需要重新加载场景，比如重进游戏或者进副本）","使你可以修改傷害的元素類型
有些角色可能沒用
（如果要徹底關閉這個功能，請重新加载场景，例如重新進入游戲）","Позволяет изменить тип урона элемента
некоторые люди могут не вступить в силу
（Чтобы отключить эту функцию, пожалуйста, повторно войдите в игру.）"
Aloy,Aloy,埃洛伊,埃洛伊,Aloy
Alt Speed,Alt Speed,变速,變速,Альтернативная скорость
Alt Speed Key,Alt Speed Key,变速键,變速鍵,Кнопкка льтернативной скорости
Alternate No-clip,Alternate No-clip,备用自由移动,備用自由移動,Альтернативная No-clip
"Alternate no-clip move speed.
Not recommended setting above 5.0.","Alternate no-clip move speed.
Not recommended setting above 5.0.",备用自由移动速度，不建议设置超过5.0。,備用自由移動速度，不建議設置超過5.0。,"Скорость альтернативного no-clip.
Не рекомендуется больше 5.0."
Amakumo Fruit,Amakumo Fruit,天云草实,天雲草實,Фрукты Амакумо
Amber,Amber,安柏,安柏,Amber
Amenoma Kageuchi,Amenoma Kageuchi,天目影打刀,天目影打刀,Amenoma Kageuchi
Amethyst Lump,Amethyst Lump,紫晶矿,紫晶礦,Кусок Аметиста
